x,"y_(ЛЗМ5,5м_Em650.txt)","y_(ЛЗМ5,5м_Ex660.txt)","y_(ЛЗМ5,5м_Em430.txt)","y_(ЛЗМ5,5м_Em425.txt)","y_(ЛЗМ5,5м_Em370.txt)","y_(ЛЗМ5,5м_Em405.txt)","y_(ЛЗМ5,5м_Em605.txt)","y_(ЛЗМ5,5м_Em460.txt)"
499,,"5,027597","0,441286",,"0,574186",,,
500,,"4,991370","0,440111",,"0,573665",,,
501,,"4,918885","0,441284",,"0,566403",,,
502,,"4,855040","0,444236",,"0,560737",,,
503,,"4,853460","0,445834",,"0,560315",,,
504,,"4,886175","0,445606",,"0,560625",,,
505,,"4,840591","0,445981",,"0,554432",,,
506,,"4,857892","0,447145",,"0,550679",,,
507,,"4,860909","0,449916",,"0,549366",,,
508,,"4,780688","0,452643",,"0,545967",,,
509,,"4,779106","0,452265",,"0,539345",,,
510,,"4,808517","0,450787",,"0,534486",,,
511,,"4,805039","0,449822",,"0,532330",,,
512,,"4,772475","0,450271",,"0,526687",,,
513,,"4,806826","0,449577",,"0,521032",,,
514,,"4,867993","0,446070",,"0,512411",,,
515,,"4,942556","0,444777",,"0,508466",,,
516,,"5,015618","0,446608",,"0,507623",,,
517,,"5,049406","0,445783",,"0,501838",,,
518,,"5,156216","0,441169",,"0,495004",,,
519,,"5,279347","0,436672",,"0,490339",,,
520,,"5,382675","0,434238",,"0,487667",,,
521,,"5,545633","0,432902",,"0,486095",,,
522,,"5,661404","0,430932",,"0,482401",,,
523,,"5,728254","0,426651",,"0,470401",,,
524,,"5,898288","0,422606",,"0,461680",,,
525,,"6,087998","0,419360",,"0,456780",,,
526,,"6,308119","0,413351",,"0,452539",,,
527,,"6,529144","0,410436",,"0,448504",,,
528,,"6,721278","0,408462",,"0,443157",,,
529,,"6,933248","0,406643",,"0,439063",,,
530,,"7,115663","0,403229",,"0,435287",,,
531,,"7,277160","0,397833",,"0,433085",,,
532,,"7,433075","0,395938",,"0,431388",,,
533,,"7,606002","0,394989",,"0,425378",,,
534,,"7,785697","0,390791",,"0,418564",,,
535,,"7,792454","0,384773",,"0,416942",,,
